"temp-outlet-0-new-rfile"
"Iteration" "temp-outlet-0-new"
("Iteration" "temp-outlet-0-new")
3 312.6532287597656
6 312.5780639648438
9 311.7347717285156
12 310.5781555175781
15 309.3045349121094
18 308.3180541992188
21 307.65087890625
24 307.1104736328125
27 306.5994567871094
30 306.114990234375
33 305.6858520507812
36 305.3282165527344
39 305.02490234375
42 304.78369140625
45 304.594970703125
48 304.4510498046875
51 304.3304748535156
54 304.2334594726562
57 304.1732482910156
60 304.1051330566406
63 304.0124206542969
66 304.0243530273438
69 304.0283813476562
72 303.9880676269531
75 303.9963073730469
78 303.9755554199219
81 303.9702758789062
84 303.9982604980469
87 303.9933166503906
90 303.9767150878906
93 303.99755859375
96 304.0288696289062
99 304.0563049316406
102 304.090576171875
105 304.0839233398438
108 304.0747680664062
111 304.0696105957031
114 304.08984375
117 304.0775451660156
120 304.0355529785156
123 303.9872131347656
126 303.9499206542969
129 303.9318237304688
132 303.921142578125
135 303.9126281738281
138 303.9049987792969
141 303.8978576660156
144 303.8912658691406
147 303.8846435546875
150 303.8789978027344
153 303.8735961914062
156 303.8674926757812
159 303.8593139648438
162 303.8533935546875
165 303.8517150878906
168 303.8507995605469
171 303.8492126464844
174 303.8468017578125
177 303.8434143066406
180 303.8392639160156
183 303.8342895507812
186 303.8309631347656
189 303.8340759277344
192 303.8368225097656
195 303.8390197753906
198 303.8407287597656
201 303.8418273925781
204 303.8424072265625
207 303.8424987792969
210 303.8423461914062
213 303.8421936035156
216 303.8419799804688
219 303.8416442871094
222 303.8412170410156
225 303.8406677246094
